Array Length,Execution Time Merge Sort,Execution Time Insertion Sort
986,23816885,92424645
987,23856165,92685316
988,23895455,92945899
989,23934723,93209241
990,23973812,93471451
991,24013735,93734250
992,24052919,93997307
993,24092519,94261100
994,24131896,94525273
995,24171704,94796092
996,24211620,95061524
997,24251252,95330042
998,24290720,95596392
999,24330788,95862970
1000,24370769,96130229
1001,24411109,96398103
1002,24451465,96668719
1003,24491761,96937513
1004,24531938,97207063
1005,24571877,97477183
1006,24611937,97747808
1007,24652304,98025278
1008,24693711,98297961
1009,24805087,98578673
1010,24845409,98851402
1011,24885867,99126808
1012,24926159,99400552
1013,24966689,99674969
1014,25007130,99949480
1015,25047588,100228863
1016,25088191,100504674
1017,25128760,100781123
1018,25169745,101057939
1019,25210296,101335531
1020,25250887,101613627
1021,25291579,101896526
1022,25332562,102175719
1023,25373371,102455453
1024,25414404,102735666
1025,25455010,103016432
1026,25496187,103298080
1027,25537422,103596036
1028,25583628,103895263
1029,25624416,104178382
1030,25665484,104462085
1031,25706356,104746165
1032,25747727,105037115
1033,25789324,105326755
1034,25830256,105612641
1035,25871778,105898981
1036,25913539,106187973
1037,25954877,106475341
1038,25996219,106763374
1039,26039713,107052217
1040,26081299,107341387
1041,26122504,107631254
1042,26165184,107922816
1043,26206735,108213729
1044,26248676,108505329
1045,26291040,108801422
1046,26332984,109093879
1047,26374899,109387147
1048,26416915,109680786
1049,26459119,109975063
1050,26501398,110272544
1051,26543269,110569898
1052,26585679,110865320
1053,26628051,111161764
1054,26670796,111458830
1055,26713318,111756565
1056,26755905,112058638
1057,26798921,112361365
1058,26841508,112660652
1059,26884618,112960241
1060,26927100,113260565
1061,26969822,113564651
1062,27012709,113866125
1063,27055773,114172175
1064,27099008,114474838
1065,27141731,114780007
1066,27184898,115083756
1067,27227980,115388095
1068,27271003,115693065
1069,27314175,116000483
1070,27357921,116306568
1071,27402221,116614258
1072,27445370,116921519
1073,27488541,117229331
1074,27534941,117539604
1075,27578604,117848241
1076,27622328,118157554
1077,27666034,118467771
1078,27709309,118778412
1079,27752907,119089785
1080,27796193,119403598
1081,27840041,119715901
1082,27883859,120028942
1083,27987801,120353827
1084,28031387,120667975
1085,28075573,120988876
1086,28119559,121304063
1087,28165227,121640275
1088,28208984,121963610
1089,28252846,122284506
1090,28297079,122606755
1091,28343544,122927174
